Weapon	Cost	Weight (lbs.)	Size	Type	Speed Factor	S-M Dmg	L Dmg	Source
Alhulak	9 gp	9	M	B	5	1d6	1d6	CGR2
Ankus (Elephant Goad)	3 gp	4	M	P/B	6	1d4	1d4	Al-Qadim
Arquebus	500 gp	10	M	P	15	1d10	1d10	PHB
Arrow, Daikyu	3 sp/6	1	M	P	—	1d8	1d6	PHBR1
Arrow, Flight	3 sp/12	*	S	P	—	1d6	1d6	PHB
Arrow, Forget	100 gp	—	T	P	—	**	**	PHBR10
Arrow, Giant-kin	1 gp/12	—	G	P	—	1d8	1d8	PHBR10
Arrow, Kenyan	1 gp/20	1/10	S	P	—	1d10	1d10	Dra #189
Arrow, Mail-Piercer	1 gp/20	*	S	P	—	1d6	1d6	Dra #189
Arrow, Sheaf	3 sp/6	*	S	P	—	1d8	1d8	PHB
Arrow, Sleep	10 gp/6	—	T	P	—	**	**	PHBR10
Arrow, Stone Flight	3 cp/12	1/10	M	P	—	1d4	1d4	PHBR1
Arrow, War	1 gp/2	—	T	P	—	1d4+1	1d4+1	PHBR10
Assegai	2 gp	1	M	P/S	4	1d8	1d10	Dra #189
Axe, Battle	5 gp	7	M	S	7	1d8	1d8	PHB
Axe, Forearm	1 gp	4	S	P/S	3	1d6	1d6	CGR2
Axe, Hand/Throwing	1 gp	5	M	S	4	1d6	1d4	PHB
Axe, Two-Handed Battle	10 gp	10	M	S	9	1d10	2d8	PHBR6
Bagh Nakh (Tiger Claws)	4 sp	1	S	P	2	1d2	1d2	Al-Qadim
Bard's Friend	10 gp	3	S	P/S	3	1d4+1	1d3	Dra #185
Basilard	7 gp	3	S	P/S	3	1d4+1	1d6+1	Dra #169
Belaying Pin	2 cp	2	S	B	4	1d3	1d3	PHBR1
Blowgun	5 gp 	2	L	—	5	—	—	PHB
Blowgun, Needle	2 cp	*	S	P	—	1	1	PHB
Blowgun, Barbed Dart	1 sp	*	S	P	—	1d3	1d2	PHB
Blunderbus	500 gp	12	M	P	15	1d4	1d4	FRA
Bo Stick	2 cp	4	L	B	4	1d6	1d4	PHBR1
Bola	5 sp	2	M	B	8	1d3	1d2	PHBR1
Bow, Composite Long	100 gp	3	L	—	7	—	—	PHB
Bow, Composite Short	75 gp	2	M	—	6	—	—	PHB
Bow, Elven	150 gp	3	L	B	8	1d6	1d3	PHBR8
Bow, Folding Short	45 gp	2	M	—	7	—	—	PHBR2
Bow, Giant-kin Long	125 gp	8	G	—	10	—	—	PHBR10
Bow, Kenyan Long	60 gp	4	L	—	13	—	—	Dra #189
Bow, Long	75 gp	3	L	—	8	—	—	PHB
Bow, Pixie	50 gp	1	T	—	4	—	—	PHBR10
Bow, Short	30 gp	2	M	—	7	—	—	PHB
Buckler, Spiked	3 gp	3	M	P	4	1d3	1d2	Dra #189
Cahulaks	12 gp	12	M	P/B	5	1d6	1d6	Dra #185
Caltrop	2 sp	2/10	S	P	—	1	1d2	DMGR3
Carrikal	8 gp	6	M	S	5	1d6+1	1d8	CGR2
Caviler	450 gp	11	M	P	12	1d8	1d8	FRA
Cestus	1 gp	2	S	S	2	1d4	1d3	PHBR1
Chain	5 sp	3	L	B	5	1d4+1	1d4	PHBR1
Chakram	1 gp	1/2	S	S	2	1d4	1d3	Dra #189
Chatkcha	1 cp	1/2	S	S	4	1d6+2	1d4+1	Dark Sun
Club	—	3	M	B	4	1d6	1d3	PHB
Club, Datchi	12 gp	10	L	B	4	1d6	1d4	Dra #185
Club, Dwarven War	**	12	M	B	6	2d4	1d6+1	Dra #169
Club, Great	8 gp	12	M	B	7	2d4	1d6+1	PHBR10
Club, Rim	2 sp	12	L	B	10	1d6	1d6	Poly #99
Crossbow, Disk	175 gp	10	M	—	10	—	—	Dra #169
Crossbow, Doubled	60 gp	8	M	—	8	—	—	Dra #169
Crossbow, Hand	300 gp	3	S	—	5	—	—	PHB
Crossbow, Heavy	50 gp	14	M	—	10	—	—	PHB
Crossbow, Light	35 gp	7	M	—	7	—	—	PHB
Dagger	2 gp	1	S	P	2	1d4	1d3	PHB
Dagger, Bone	1 sp	1	S	P	2	1d2	1d2	PHBR1
Dagger, Climbing	5 gp	1	S	P	2	1d3	1d2	PHBR2
Dagger, Giant-kin	5 gp	3	G	P	3	1d6	1d8	PHBR10
Dagger, Parrying	5 gp	1	S	P	2	1d3	1d3	DMGR3
Dagger, Stone	2 sp	1	S	P	2	1d3	1d2	PHBR1
Daikyu	100 gp	3	L	—	7	—	—	PHBR1
Dart	5 sp	1/2	S	P	2	1d3	1d2	PHB
Dart, Barbed	—	5	S	P	3	1d4	1d4	PHBR10
Dejada	6 gp	8	M	P/B	8	1d8	1d6	CGR2
Dejada Cestus	10 gp	9	M	P/S/B	2/8	1d6/1d6	1d8/1d6	Poly #99
Dirk	2 gp	1	S	P	2	1d4	1d3	PHB
Disk, Crossbow	5 gp	3/10	S	P	—	1d6+1	1d6	Dra #169
Dragon's Paw	15 gp	9	L	P	8	1d6	1d6+1	Dra #185
Flail, Bladeback	20 gp	25	L	B	9	1d8+1	2d6	PHBR10
Flail, Chain	1 gp	5	L	B	6	1d4+2	1d4+1	PHBR6
Flail, Footman's	15 gp	15	M	B	7	1d6+1	2d4	PHB
Flail, Grain	3 gp	3	M	B	6	1d4+1	1d4	PHBR11
Flail, Horseman's	8 gp	5	M	B	6	1d4+1	1d4+1	PHB
Flindbar	8	6	M	B	4	1d4	1d4	PHBR10
Gada	1 gp	6	M	B	6	1d8	1d4	Dra #189
Gaff/Hook 
Attached 
Held 	  
2 gp 
5 cp 	  
2 
2 	  
S 
S 	  
P 
P 	  
2 
2 	  
1d4 
1d4 	  
1d3 
1d3 	PHBR1
Gladiator's Friend, Footman's	15 gp	15	L	P/S/B	8	1d6/1d8	1d6+1/1d6	Poly #99
Gladiator's Friend, Horseman's	10 gp	7	M	P/S/B	6	1d6/1d4	1d4/1d4	Poly #99
Glove Nail	2 gp	2	S	P	2	1d4+1	1d4	PHBR6
Gouge	6 gp	12	L	P/S	8	1d8	1d10	Dra #185
Harpoon, One-Handed	20 gp	6	L	P	7	1d4+1	1d6+1	PHB
Harpoon, Two-Handed	20 gp	6	L	P	7	2d4	2d6	PHB
Hatchet	2 gp	3	S	S	4	1d4+1	1d4+1	PHBR11
Hatchet, Hawk	2 gp	6	M	P/S	5	1d6+1/1d4+1	1d4/1d4	Poly #99
Hora	1 gp	1/2	S	B	1	1d3	1d3	Dra #189
Impaler	4 cp	5	M	P	5	1d8	1d8	Dark Sun
Iuak (Snow Blade)	10 gp	3	M	S	4	1d4	1d6	PHBR11
Jambiya	4 gp	1	S	P/S	3	1d4	1d4	Al-Qadim
Javelin, One-Handed	5 sp	2	M	P	4	1d4	1d4	PHB
Javelin, Two-Handed	5 sp	2	M	P	4	1d6	1d6	PHB
Javenlin, Stone (One-Handed)	5 cp	2	L	P	4	1d4	1d4	PHBR1
Javenlin, Stone (Two-Handed)	5 cp	2	L	P	4	1d4+1	1d6	PHBR1
Katar (Punch Dagger)	3 gp	1	S	P	2	1d3+1	1d3	Al-Qadim
Kick-slasher	7 gp	3	S	S	2	1d4+1	1d6+1	PHBR10
Knife	5 sp	1/2	S	P/S	2	1d3	1d2	PHB
Knife, Bone	3 cp	1/2	S	P/S	2	1d2	1d2	PHBR1
Knife, Harness	**	*	S	P/S	2	1d2	1	PHBR11
Knife, Stone	5 cp	1/2	S	P/S	2	1d2	1d2	PHBR1
Knife, Throwing	3 gp	3	M	P/S	3	1d4+1	1d4+1	Dra #189
Knife, Widow's	5 gp	4	M	P/S	3	1d4	1d4	Dra #185
Knobkerrie	10 sp	4	M	B	4	1d6	1d4+1	Dra #189
Kora	11 gp	4	M	S	4	1d6+1	1d6+1	Dra #189
Kukri	3 gp	2	S	S	3	1d4+1	1d4+1	Dra #189
Lance, Flight	6 gp	5	L	P	6	1d6+1	2d6	PHBR10
Lance, Heavy Horse1	15 gp	15	L	P	8	1d8+1	3d6	PHB
Lance, Light Horse1	6 gp	5	L	P	6	1d6	1d8	PHB
Lance, Jousting1	20 gp	20	L	P	10	1d3-1	1d2-1	PHB
Lance, Medium Horse1	10 gp	10	L	P	7	1d6+1	2d6	PHB
Lasso	5 sp	3	L	—	10	—	—	PHBR1
Lotulis	15 gp	10	L	P/S/B	8	1d10	1d12	CGR2
Maca	25 gp	6	M	S	5	1d8	1d6	Maztica
Mace, Bladeback	15 gp	16	L	B	9	1d8+1	1d8	PHBR10
Mace, Footman's	8 gp	10	M	B	7	1d6+1	1d6	PHB
Mace, Footman's Whistling	12 gp	6	M	B	6	1d6	1d4	Poly #99
Mace, Giant-kin	11 gp	12	G	B	8	1d8x2	1d6x2	PHBR10
Mace, Great	20 gp	20	M	B	10	1d8+1	2d4	Dra #169
Mace, Horseman's	5 gp	6	M	B	6	1d6	1d4	PHB
Mace, Horseman's Whistling	9 gp	3	M	B	5	1d4+1	1d2+1	Poly #99
Machete	30 gp	4	M	S	8	1d8	1d8	PHBR11
Madu	6 gp	5	M	P	4	1d4	1d3	Dra #189
Main-Gauche	3 gp	2	S	P/S	2	1d4	1d3	PHBR1
Mancatcher2	30 gp	8	L	—	7	—	—	PHB
Morning Star	10 gp	12	M	B	7	2d4	1d6+1	PHB
Morning Star, Double-Ball	35 gp	16	M	B	8	1d4+1x2	1d4x2	Dra #169
Musket	800 gp	20	M	P	17	1d12	1d12	FRA
Net	5 gp	10	M	—	10	—	—	PHBR1
Nunchaku	1 gp	3	M	B	3	1d6	1d6	PHBR1
Nyek-ple-nen-toh	40 gp	10	L	S	12	1d8+1	1d8	Dra #189
Pata1	30 gp	6	M	P/S	6	1d8	1d12	Dra #189
Peshkabz	3 gp	1	S	P	2	1d4	1d3	Dra #189
Pick, Footman's	8 gp	6	M	P	7	1d6+1	2d4	PHB
Pick, Horseman's	7 gp	4	M	P	5	1d4+1	1d4	PHB
Pick, Ice	1 gp	1/2	S	P	2	1d4	1d3	PHBR11
Pike, Weighted	6 gp	15	L	P/B	12	1d6/1d6	1d12/1d4	Dra #185
Pistol, Starwheel	1,000 gp	5	S	P	10	1d4	1d4	FRA
Polearm, Awl Pike3	5 gp	12	L	P	13	1d6	1d12	PHB
Polearm, Bardiche	7 gp	12	L	S	9	2d4	2d6	PHB
Polearm, Bec De Corbin	8 gp	10	L	P/B	9	1d8	1d6	PHB
Polearm, Bill-Guisarme	7 gp	15	L	P/S	10	2d4	1d10	PHB
Polearm, Crusher	24 gp	9	L	B	10	1d4	1d3	Dra #185
Polearm, Fauchard	5 gp	7	L	P/S	8	1d6	1d8	PHB
Polearm, Fauchard-Fork	8 gp	9	L	P/S	8	1d8	1d10	PHB
Polearm, Giant-kin Halberd	25 gp	35	G	P/S	12	1d12	2d8	PHBR10
Polearm, Glaive4	6 gp	8	L	S	8	1d6	1d10	PHB
Polearm, Glaive-Guisarme4	10 gp	10	L	P/S	9	2d4	2d6	PHB
Polearm, Guisarme	5 gp	8	L	S	8	2d4	1d8	PHB
Polearm, Guisarme-Voulge	8 gp	15	L	P/S	10	2d4	2d4	PHB
Polearm, Gythka	6 cp	12	L	P/B	9	2d4	1d10	Dark Sun
Polearm, Halberd	10 gp	15	L	P/S	9	1d10	2d6	PHB
Polearm, Hook Fauchard	10 gp	8	L	P/S	9	1d4	1d4	PHB
Polearm, Lucern Hammer3	7 gp	15	L	P/B	9	2d4	1d6	PHB
Polearm, Military Fork4	5 gp	7	L	P	7	1d8	2d4	PHB
Polearm, Naginata3	8 gp	10	L	P	7	1d8	1d10	PHBR1
Polearm, Partisan3	10 gp	8	L	P	9	1d6	1d6+1	PHB
Polearm, Quad Fauchard	20 gp	20	L	S	9	1d6	1d8	Poly #99
Polearm, Ranseur3	6 gp	7	L	P	8	2d4	2d4	PHB
Polearm, Spetum3	5 gp	7	L	P	8	1d6+1	2d6	PHB
Polearm, Tetsubo	2 gp	7	L	B	7	1d8	1d8	PHBR1
Polearm, Trikal	12 gp	8	L	S/B	8	1d10	1d10	CGR2
Polearm, Voulge	5 gp	12	L	S	10	2d4	2d4	PHB
Puchik	6 gp	1	S	P/S	2	1d4+1	1d4+1	CGR2
Punch-cutter	6 gp	1	S	S	2	1d4	1d3	PHBR10
Quabone	1 cp	4	M	P/S	7	1d4	1d3	Dark Sun
Quarrel, Hand	1 gp	*	S	P	—	1d3	1d2	PHB
Quarrel, Heavy	2 sp	*	S	P	—	1d4+1	1d6+1	PHB
Quarrel, Light	1 sp	*	S	P	—	1d4	1d4	PHB
Quarterstaff	—	4	L	B	4	1d6	1d6	PHB
Razor	4 sp	1	S	S	2	1d2	1d2	Al-Qadim
Ritiik	10 gp	6	L	P	8	1d6+1	1d8+1	PHBR11
Sai	5 sp	2	S	P/B	2	1d4	1d2	PHBR1
Sap	1 gp	1/10	S	B	2	1d2	1d2	DMGR3
Scourge	1 gp	2	S	—	5	1d4	1d2	PHB
Scythe	10 gp	15	L	S	8	1d10+2	2d6	Al-Qadim
Shield, Spike	15 gp	18	L	P	6	1d8	1d6	Poly #99
Shoka	6 gp	7	M	S	7	1d6+1	1d6+1	Dra #189
Shotel	3 gp	4	M	S	7	1d6	1d6	Dra #189
Shuriken	3 sp	1	S	P	2	1d4	1d4	PHBR1
Sickle	6 sp	3	S	S	4	1d4+1	1d4	PHB
Sling 
Bullet 
Stone 	5 cp 
1 cp 
—	* 
1/2 
1/2 	S 
S 
S 	— 
B 
B 	6 
—
—	— 
1d4+1 
1d4 	— 
1d4 
1d4 	PHB
Spear 
One-Handed 
Two-Handed3 	  
8 sp 
8 sp 	  
5 
5 	  
M 
M 	  
P 
P 	  
6 
6 	  
1d6 
1d8+1 	  
1d8 
2d6 	PHB
Spear, Double-Bladed	2 gp	6	M	P	6	1d8	1d8	CGR2
Spear, Heavy 
One-Handed 
Two-Handed 	  
3 gp 
3 gp 	  
7 
7 	  
L 
L 	  
P 
P 	  
8 
8 	  
1d8 
2d6 	  
1d10 
2d8 	Dra #189
Spear, Hook-Tailed	8 gp	7	L	P/S	7	1d6	1d8	Dra #169
Spear, Long 
One-Handed 
Two-Handed3 	  
5 gp 
5 gp 	  
8 
8 	  
L 
L 	  
P 
P 	  
8 
8 	  
1d8 
2d6 	  
1d8+1 
3d6 	PHBR1
Spear, Paddle	10 sp	3	M	P	6	1d4+1	1d6+1	Dra #189
Spear, Stone 
One-Handed 
Two-Handed 	  
8 cp 
8 cp 	  
5 
5 	  
M 
M 	  
P 
P 	  
6 
6 	  
1d4 
1d6 	  
1d6 
2d4 	PHBR1
Spear, Throwing	1 gp	3	M	P	5	1d6	1d8	Dra #189
Spear Caster	10 gp	3	M	—	9	—	—	Maztica
Spikes, Body	—	—	S	P	2	**	**	PHBR10
Spike, Elbow	1 gp	2	S	S	2	1d4	1d4	PHBR6
Spike, Head	10 gp	10	M	P	4	1d6	1d8	PHBR6
Spike, Knee	3 gp	2	S	P	1	1d4	1d4	PHBR6
Staff, Hamanu's	10 gp	5	L	B	4	1d8	1d8	Poly #99
Staff, Hornhead	5 gp	20	L	B	6	2d6	2d6	PHBR10
Staff Sling 
Stinkpot 	2 sp 
1 sp 	2 
2 	M 
S 	— 
B 	11 
—	— 
1d3 	— 
1d3 	DMGR3
Stick, Goblin	5 gp	8	L	P	7	1d4	1d6	PHBR10
Sticks, Singing	5 sp	1	S	B	2	1d6	1d4	CGR2
Stiletto	5 sp	1/2	S	P	2	1d3	1d2	PHBR1
Sword, Bastard 
One-Handed 
Two-Handed 	  
25 gp 
25 gp 	  
10 
10 	  
M 
M 	  
S 
S 	  
6 
8 	  
1d8 
2d4 	  
1d12 
2d8 	PHB
Sword, Broad	10 gp	4	M	S	5	2d4	1d6+1	PHB
Sword, Claymore	25 gp	10	M	S	8	2d4	2d8	DMGR3
Sword, Cutlass	12 gp	4	M	S	5	1d6	1d8	PHBR1
Sword, Drusus	50 gp	3	M	S	3	1d6+1	1d8+1	PHBR1
Sword, Dwarven Claymore	**	11	M	S	7	2d4	2d6	Dra #169
Sword, Falchion	17 gp	8	M	S	5	1d6+1	2d4	DMGR3
Sword, Flamberge	30 gp	21	L	S	9	1d8+1	2d8	Dra #169
Sword, Giant-kin Two-Handed	100 gp	35	G	S	13	1d10x2	3d6x2	PHBR10
Sword, Great Scimitar	60 gp	16	L	S	9	2d8	4d4	Al-Qadim
Sword, Hook	15 gp	4	M	S	5	1d8+1	1d8	Poly #99
Sword, Katana 
One-Handed 
Two-Handed 	  
100 gp 
100 gp 	  
6 
6 	  
M 
M 	  
S/P 
S/P 	  
4 
4 	  
1d10 
2d6 	  
1d12 
2d6 	PHBR1
Sword, Khandar 
One-Handed 
Two-Handed 	  
25 gp 
25 gp 	  
10 
10 	  
M 
M 	  
S 
S 	  
5 
7 	  
1d8 
1d10 	  
1d8 
1d10 	Dra #189
Sword, Khopesh	10 gp	7	M	S	9	2d4	1d6	PHB
Sword, Long	15 gp	4	M	S	5	1d8	1d12	PHB
Sword, Mandible	6 gp	3	M	P	4	1d8/1d6	1d6/1d4	Poly #99
Sword, Mariner's	9 gp	5	M	S	4	1d8	1d8	Dra #169
Sword, Piercer	12 gp	3	M	P	3	1d6+1	1d8	Dra #169
Sword, Pixie	30 gp	1	T	S	4	1d4	1d3	PHBR10
Sword, Rapier	15 gp	4	M	P	4	1d6+1	1d8+1	PHBR1
Sword, Sabre	17 gp	5	M	S	4	1d6+1	1d8+1	PHBR1
Sword, Scimitar	15 gp	4	M	S	5	1d8	1d8	PHB
Sword, Short	10 gp	3	S	P	S	1d6	1d8	PHB
Sword, Talwar	15 gp	5	M	S	6	2d4	2d4	Dra #189
Sword, Two-Handed	50 gp	15	L	S	10	1d10	3d6	PHB
Sword, Wakizashi	50 gp	3	M	S/P	3	1d8	1d8	PHBR1
Swordlet	8 gp	2	S	S	3	1d4+1	1d4+1	Dra #189
Talid	4 gp	1	S	P/S/B	2	1d6	1d6-1	Dark Sun
Tortoise Blades	9 gp	5	M	P/S	5	1d6	1d6+1	Dra #185
Trident 
One-Handed 
Two-Handed 	  
15 gp 
15 gp 	  
5 
5 	  
L 
L 	  
P 
P 	  
7 
7 	  
1d6+1 
1d8+1 	  
3d4 
3d4 	PHB
Trombash 
Held 
Thrown 	  
10 sp 
10 sp 	  
2 
2 	  
S 
S 	  
B 
B 	  
3 
3 	  
1d4 
1d6 	  
1d2 
1d4 	Dra #189
Tufenk	14 gp	5	L	—	9	**	**	Al-Qadim
Warhammer	2 gp	6	M	B	4	1d4+1	1d4	PHB
Whip	1 sp	2	M	—	8	1d2	1	PHB
Whip, Chain	21 gp	3.5	M	—	9	1d3	1d2	Poly #99
Whip, Master's	6 gp	3	M	P	8	1d3	1d2	Dra #185
Wrist Razor	1 sp	1	S	S	2	1d6+1	1d4+1	Dark Sun
Zaghnal	14 gp	5	S	P	5	1d4+1	1d6+1	Dra #189
